"ID","shape","outlierType","outlierPosition","choice","success","rt","majorityOfMostRegularShapes","rot1","rot2","rot3","rot4","rot5","rot6","dil1","dil2","dil3","dil4","dil5","dil6","usedTouchscreen","population","age","classe"
"ARIELLE","random",3,0,1,1,1223,TRUE,"1","5","3","4","6","2","1","6","2","5","4","3",TRUE,"baboons",NA,NA
"ARIELLE","kite",1,5,1,0,3898,FALSE,"6","1","4","5","3","2","6","1","3","5","2","4",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",1,5,3,0,2352,FALSE,"4","5","1","2","3","6","3","5","6","1","2","4",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",0,1,6,0,3000,FALSE,"4","5","3","6","1","2","2","6","4","3","5","1",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",2,4,1,0,3652,FALSE,"6","4","5","3","2","1","6","2","5","1","4","3",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",1,3,3,0,2621,TRUE,"4","3","1","5","6","2","5","1","4","2","3","6",TRUE,"baboons",NA,NA
"ARIELLE","random",3,4,4,0,3109,FALSE,"4","2","3","1","6","5","4","5","1","6","2","3",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",3,1,5,0,3867,FALSE,"6","3","4","5","2","1","5","6","4","2","3","1",TRUE,"baboons",NA,NA
"ARIELLE","square",2,2,3,1,1289,TRUE,"4","2","6","5","1","3","4","2","3","6","5","1",TRUE,"baboons",NA,NA
"ARIELLE","random",2,2,2,0,2270,TRUE,"1","6","3","4","5","2","2","1","4","3","6","5",TRUE,"baboons",NA,NA
"ARIELLE","square",1,2,6,0,3633,FALSE,"5","6","4","3","2","1","3","2","5","4","6","1",TRUE,"baboons",NA,NA
"ARIELLE","kite",0,4,1,0,2812,FALSE,"3","2","6","1","4","5","6","3","5","1","4","2",TRUE,"baboons",NA,NA
"ARIELLE","hinge",3,2,5,0,1918,FALSE,"2","5","4","3","1","6","2","1","6","5","4","3",TRUE,"baboons",NA,NA
"ARIELLE","random",0,3,6,0,1473,TRUE,"4","2","3","5","1","6","6","2","4","5","3","1",TRUE,"baboons",NA,NA
"ARIELLE","losange",2,1,3,0,3051,FALSE,"5","3","1","6","2","4","2","3","4","6","5","1",TRUE,"baboons",NA,NA
"ARIELLE","square",3,5,6,1,2770,TRUE,"4","5","2","3","1","6","5","2","6","3","1","4",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",0,2,6,0,1652,TRUE,"4","1","3","2","6","5","5","6","3","2","4","1",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",2,4,2,0,3250,FALSE,"5","4","1","3","6","2","3","5","4","6","1","2",TRUE,"baboons",NA,NA
"ARIELLE","losange",1,2,1,0,2523,FALSE,"6","4","5","2","3","1","5","3","2","1","6","4",TRUE,"baboons",NA,NA
"ARIELLE","random",1,3,6,0,3109,TRUE,"2","3","4","5","1","6","5","4","6","2","3","1",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",0,2,3,1,2141,FALSE,"3","5","1","4","6","2","4","1","3","2","5","6",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",2,2,6,0,969,FALSE,"5","3","4","2","6","1","5","6","3","2","4","1",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",1,3,4,1,2000,TRUE,"3","4","6","5","1","2","3","6","1","4","5","2",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",0,5,2,0,2012,TRUE,"2","1","6","5","3","4","1","6","5","2","4","3",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",1,4,5,1,1691,FALSE,"5","3","1","4","6","2","2","5","1","3","6","4",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",3,3,3,0,4281,TRUE,"5","4","2","1","3","6","2","6","3","4","1","5",TRUE,"baboons",NA,NA
"ARIELLE","hinge",1,4,1,0,3441,TRUE,"1","6","2","5","4","3","2","6","3","4","5","1",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",2,0,3,0,1398,TRUE,"5","6","1","3","2","4","6","1","5","2","4","3",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",3,1,4,0,2141,TRUE,"1","2","5","6","3","4","4","5","2","1","3","6",TRUE,"baboons",NA,NA
"ARIELLE","kite",0,4,1,0,1500,TRUE,"1","4","3","5","2","6","2","3","4","6","5","1",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",3,2,1,0,4109,TRUE,"1","3","4","5","2","6","1","6","2","3","4","5",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",2,3,4,1,2141,FALSE,"2","4","3","6","5","1","6","4","5","3","1","2",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",3,3,6,0,1141,FALSE,"1","3","4","5","2","6","4","2","5","3","6","1",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",1,1,4,0,3148,TRUE,"4","3","2","1","6","5","3","1","4","5","2","6",TRUE,"baboons",NA,NA
"ARIELLE","square",1,5,4,0,3770,FALSE,"5","3","2","4","6","1","4","3","2","1","6","5",TRUE,"baboons",NA,NA
"ARIELLE","hinge",0,3,5,0,2828,FALSE,"3","6","2","4","1","5","6","4","2","3","1","5",TRUE,"baboons",NA,NA
"ARIELLE","kite",3,2,4,0,3113,FALSE,"5","2","4","6","3","1","3","4","2","5","1","6",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",1,5,5,0,4910,TRUE,"1","3","2","4","6","5","6","1","3","2","5","4",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",0,1,6,0,3129,TRUE,"5","2","6","3","4","1","1","2","5","4","6","3",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",0,3,4,1,2949,TRUE,"2","6","5","1","3","4","3","5","1","4","2","6",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",0,2,5,0,840,FALSE,"5","3","2","6","1","4","4","1","5","3","2","6",TRUE,"baboons",NA,NA
"ARIELLE","losange",3,0,5,0,2523,FALSE,"1","5","2","4","6","3","5","1","6","3","4","2",TRUE,"baboons",NA,NA
"ARIELLE","square",0,0,6,0,1141,FALSE,"6","4","1","5","2","3","3","5","1","2","4","6",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",3,5,2,0,1449,FALSE,"4","5","6","3","1","2","3","2","4","6","1","5",TRUE,"baboons",NA,NA
"ARIELLE","random",3,1,2,1,1598,FALSE,"4","6","1","5","3","2","1","5","2","3","6","4",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",0,2,1,0,2551,TRUE,"2","5","1","4","3","6","1","6","2","3","4","5",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",0,5,4,0,2168,FALSE,"2","5","6","1","3","4","5","4","3","2","6","1",TRUE,"baboons",NA,NA
"ARIELLE","kite",1,3,4,1,1680,FALSE,"3","1","4","6","5","2","4","3","2","6","5","1",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",3,4,6,0,1719,FALSE,"1","6","5","3","4","2","1","5","4","3","2","6",TRUE,"baboons",NA,NA
"ARIELLE","random",1,0,6,0,883,FALSE,"3","2","5","6","4","1","3","1","6","2","5","4",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",0,1,1,0,3801,TRUE,"5","1","3","2","6","4","3","6","1","5","4","2",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",2,5,3,0,1391,FALSE,"3","2","6","4","5","1","2","3","5","1","4","6",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",2,2,2,0,2340,TRUE,"3","6","2","1","5","4","4","6","2","5","3","1",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",0,3,4,1,2621,FALSE,"5","4","1","2","6","3","1","6","3","4","5","2",TRUE,"baboons",NA,NA
